King Robert [h: 0.62, p: 13.4]
	Lord Frederick [h: 1.56, p: 6.23]
		Knight William [h: 0.69, p: 3.38]
		Peasant Lord Frederick's peasant #6 [h: 1.52, p: 2.15]
	Lord Louis [h: 0.72, p: 6.8]
		Knight Marco [h: 1.23, p: 4.99]
		Peasant Lord Louis's peasant #7 [h: 1.46, p: 2.16]
	Wizard Fred [h: 1.47, p: 10.1]
		Peasant Wizard Fred's peasant #8 [h: 1.37, p: 11.1]

King Robert [h: 0.59, p: 16.4]
	Lord Frederick [h: 1.28, p: 8.23]
		Knight William [h: 0.9, p: 2.38]
		Peasant Lord Frederick's peasant #6 [h: 1.98, p: 1.15]
		Peasant Lord Frederick's peasant #9 [h: 0.7, p: 2.53]
	Lord Louis [h: 0.59, p: 8.8]
		Knight Marco [h: 1.59, p: 3.99]
		Peasant Lord Louis's peasant #7 [h: 1.89, p: 1.16]
		Peasant Lord Louis's peasant #10 [h: 1.6, p: 2.78]
	Wizard Fred [h: 1.47, p: 10.1]
		Peasant Wizard Fred's peasant #8 [h: 1.78, p: 10.1]
		Peasant Wizard Fred's peasant #11 [h: 1.37, p: 11.1]

King Robert [h: 0.57, p: 19.4]
	Lord Frederick [h: 0.91, p: 11.23]
		Knight William [h: 1.17, p: 1.38]
		Peasant Lord Frederick's peasant #6 [h: 2.57, p: 0.15]
		Peasant Lord Frederick's peasant #9 [h: 0.91, p: 1.53]
		Peasant Lord Frederick's peasant #12 [h: 1.76, p: 1.06]
	Lord Louis [h: 0.42, p: 11.8]
		Knight Marco [h: 2.07, p: 2.99]
		Peasant Lord Louis's peasant #7 [h: 2.46, p: 0.16]
		Peasant Lord Louis's peasant #10 [h: 2.08, p: 1.78]
		Peasant Lord Louis's peasant #13 [h: 1.17, p: 2.59]
	Wizard Fred [h: 1.47, p: 10.1]
		Peasant Wizard Fred's peasant #8 [h: 2.31, p: 9.1]
		Peasant Wizard Fred's peasant #11 [h: 1.78, p: 10.1]
		Peasant Wizard Fred's peasant #14 [h: 1.37, p: 11.1]

King Robert [h: 0.56, p: 22.4]
	Lord Frederick [h: 0.55, p: 15.23]
		Knight William [h: 1.52, p: 0.38]
		Peasant Lord Frederick's peasant #6 [h: 3.34, p: -0.85]
