King Marco [h: 1.09, p: 11.0]
	Lord Christian [h: 1.4, p: 4.44]
		Knight Larry [h: 1.07, p: 3.14]
		Peasant Lord Christian's peasant #6 [h: 1.3, p: 2.01]
	Lord Marco [h: 0.9, p: 5.44]
		Knight Anthony [h: 1.55, p: 4.51]
		Peasant Lord Marco's peasant #7 [h: 1.5, p: 2.69]
	Wizard Jasper [h: 1.51, p: 9.16]
		Peasant Wizard Jasper's peasant #8 [h: 1.41, p: 10.16]

King Marco [h: 0.89, p: 14.0]
	Lord Christian [h: 1.15, p: 6.44]
		Knight Larry [h: 1.39, p: 2.14]
		Peasant Lord Christian's peasant #6 [h: 1.69, p: 1.01]
		Peasant Lord Christian's peasant #9 [h: 1.5, p: 1.17]
	Lord Marco [h: 0.74, p: 7.44]
		Knight Anthony [h: 2.02, p: 3.51]
		Peasant Lord Marco's peasant #7 [h: 1.95, p: 1.69]
		Peasant Lord Marco's peasant #10 [h: 1.6, p: 2.87]
	Wizard Jasper [h: 1.51, p: 9.16]
		Peasant Wizard Jasper's peasant #8 [h: 1.83, p: 9.16]
		Peasant Wizard Jasper's peasant #11 [h: 1.41, p: 10.16]

King Marco [h: 0.76, p: 17.0]
	Lord Christian [h: 0.81, p: 9.44]
		Knight Larry [h: 1.8, p: 1.14]
		Peasant Lord Christian's peasant #6 [h: 2.2, p: 0.01]
		Peasant Lord Christian's peasant #9 [h: 1.95, p: 0.17]
		Peasant Lord Christian's peasant #12 [h: 1.28, p: 1.5]
	Lord Marco [h: 0.52, p: 10.44]
		Knight Anthony [h: 2.63, p: 2.51]
		Peasant Lord Marco's peasant #7 [h: 2.53, p: 0.69]
		Peasant Lord Marco's peasant #10 [h: 2.09, p: 1.87]
		Peasant Lord Marco's peasant #13 [h: 1.44, p: 2.28]
	Wizard Jasper [h: 1.51, p: 9.16]
		Peasant Wizard Jasper's peasant #8 [h: 2.38, p: 8.16]
		Peasant Wizard Jasper's peasant #11 [h: 1.83, p: 9.16]
		Peasant Wizard Jasper's peasant #14 [h: 1.41, p: 10.16]

King Marco [h: 0.68, p: 20.0]
	Lord Christian [h: 0.49, p: 13.44]
		Knight Larry [h: 2.34, p: 0.14]
		Peasant Lord Christian's peasant #6 [h: 2.86, p: -0.99]
		Peasant Lord Christian's peasant #9 [h: 2.53, p: -0.83]
		Peasant Lord Christian's peasant #12 [h: 1.66, p: 0.5]
		Peasant Lord Christian's peasant #15 [h: 1.3, p: 1.85]
	Lord Marco [h: 0.32, p: 14.44]
		Knight Anthony [h: 3.42, p: 1.51]
		Peasant Lord Marco's peasant #7 [h: 3.29, p: -0.31]
		Peasant Lord Marco's peasant #10 [h: 2.71, p: 0.87]
		Peasant Lord Marco's peasant #13 [h: 1.87, p: 1.28]
		Peasant Lord Marco's peasant #16 [h: 0.91, p: 1.59]
	Wizard Jasper [h: 1.51, p: 9.16]
		Peasant Wizard Jasper's peasant #8 [h: 3.09, p: 7.16]
		Peasant Wizard Jasper's peasant #11 [h: 2.38, p: 8.16]
		Peasant Wizard Jasper's peasant #14 [h: 1.83, p: 9.16]
		Peasant Wizard Jasper's peasant #17 [h: 1.41, p: 10.16]

King Marco [h: 0.63, p: 23.0]
	Lord Christian [h: 0.26, p: 18.44]
		Knight Larry [h: 3.05, p: -0.86]
		Peasant Lord Christian's peasant #6 [h: 3.72, p: -1.99]
		Peasant Lord Christian's peasant #9 [h: 3.29, p: -1.83]
		Peasant Lord Christian's peasant #12 [h: 2.16, p: -0.5]
		Peasant Lord Christian's peasant #15 [h: 1.69, p: 0.85]
		Peasant Lord Christian's peasant #18 [h: 1.82, p: 2.41]
☠	Lord Marco [h: 0.0, p: 19.44]
		Knight Anthony [h: 4.44, p: 0.51]
		Peasant Lord Marco's peasant #7 [h: 4.28, p: -1.31]
		Peasant Lord Marco's peasant #10 [h: 3.52, p: -0.13]
		Peasant Lord Marco's peasant #13 [h: 2.43, p: 0.28]
		Peasant Lord Marco's peasant #16 [h: 1.19, p: 0.59]
		Peasant Lord Marco's peasant #19 [h: 0.79, p: 1.85]
	Wizard Jasper [h: 1.51, p: 9.16]
		Peasant Wizard Jasper's peasant #8 [h: 4.02, p: 6.16]
		Peasant Wizard Jasper's peasant #11 [h: 3.09, p: 7.16]
		Peasant Wizard Jasper's peasant #14 [h: 2.38, p: 8.16]
		Peasant Wizard Jasper's peasant #17 [h: 1.83, p: 9.16]
		Peasant Wizard Jasper's peasant #20 [h: 1.41, p: 10.16]
		Knight Promoted #8 [h: 0.46, p: 7.0]

King Marco [h: 0.6, p: 26.0]
☠	Lord Christian [h: 0.0, p: 24.44]
		Knight Larry [h: 3.96, p: -1.86]
		Peasant Lord Christian's peasant #6 [h: 4.84, p: -2.99]
		Peasant Lord Christian's peasant #9 [h: 4.28, p: -2.83]
		Peasant Lord Christian's peasant #12 [h: 2.8, p: -1.5]
