King Louis [h: 1.1, p: 12.75]
	Lord George [h: 1.8, p: 5.77]
		Peasant Lord George's peasant #6 [h: 1.71, p: 2.84]
	Lord Anthony [h: 0.45, p: 5.54]
		Knight Raymond [h: 0.66, p: 4.73]
		Knight Bruce [h: 1.96, p: 4.52]
		Peasant Lord Anthony's peasant #7 [h: 1.34, p: 1.47]
	Wizard Bruce [h: 1.08, p: 8.11]
		Peasant Wizard Bruce's peasant #8 [h: 0.98, p: 9.11]

King Louis [h: 0.9, p: 15.75]
	Lord George [h: 1.72, p: 6.77]
		Peasant Lord George's peasant #6 [h: 2.23, p: 1.84]
		Peasant Lord George's peasant #9 [h: 1.42, p: 1.71]
	Lord Anthony [h: 0.32, p: 8.54]
		Knight Raymond [h: 0.86, p: 3.73]
		Knight Bruce [h: 2.55, p: 3.52]
		Peasant Lord Anthony's peasant #7 [h: 1.75, p: 0.47]
		Peasant Lord Anthony's peasant #10 [h: 1.61, p: 1.59]
	Wizard Bruce [h: 1.08, p: 8.11]
		Peasant Wizard Bruce's peasant #8 [h: 1.28, p: 8.11]
		Peasant Wizard Bruce's peasant #11 [h: 0.98, p: 9.11]

King Louis [h: 0.77, p: 18.75]
	Lord George [h: 1.42, p: 8.77]
		Peasant Lord George's peasant #6 [h: 2.9, p: 0.84]
		Peasant Lord George's peasant #9 [h: 1.84, p: 0.71]
		Peasant Lord George's peasant #12 [h: 0.86, p: 2.74]
☠	Lord Anthony [h: 0.0, p: 12.54]
		Knight Raymond [h: 1.12, p: 2.73]
		Knight Bruce [h: 3.31, p: 2.52]
		Peasant Lord Anthony's peasant #7 [h: 2.27, p: -0.53]
		Peasant Lord Anthony's peasant #10 [h: 2.1, p: 0.59]
		Peasant Lord Anthony's peasant #13 [h: 1.72, p: 2.79]
	Wizard Bruce [h: 1.08, p: 8.11]
		Peasant Wizard Bruce's peasant #8 [h: 1.66, p: 7.11]
		Peasant Wizard Bruce's peasant #11 [h: 1.28, p: 8.11]
		Peasant Wizard Bruce's peasant #14 [h: 0.98, p: 9.11]

King Louis [h: 0.69, p: 21.75]
	Lord George [h: 1.0, p: 11.77]
		Peasant Lord George's peasant #6 [h: 3.77, p: -0.16]
		Peasant Lord George's peasant #9 [h: 2.39, p: -0.29]
		Peasant Lord George's peasant #12 [h: 1.12, p: 1.74]
		Peasant Lord George's peasant #15 [h: 1.03, p: 1.95]
☠	Lord Anthony [h: 0.0, p: 12.54]
		Knight Raymond [h: 1.12, p: 2.73]
		Knight Bruce [h: 3.31, p: 2.52]
		Peasant Lord Anthony's peasant #7 [h: 2.27, p: -0.53]
		Peasant Lord Anthony's peasant #10 [h: 2.1, p: 0.59]
		Peasant Lord Anthony's peasant #13 [h: 1.72, p: 2.79]
		Peasant Lord Anthony's peasant #16 [h: 1.24, p: 2.12]
	Wizard Bruce [h: 1.08, p: 8.11]
		Peasant Wizard Bruce's peasant #8 [h: 2.16, p: 6.11]
		Peasant Wizard Bruce's peasant #11 [h: 1.66, p: 7.11]
		Peasant Wizard Bruce's peasant #14 [h: 1.28, p: 8.11]
		Peasant Wizard Bruce's peasant #17 [h: 0.98, p: 9.11]

King Louis [h: 0.63, p: 24.75]
	Lord George [h: 0.61, p: 15.77]
		Peasant Lord George's peasant #6 [h: 4.9, p: -1.16]
		Peasant Lord George's peasant #9 [h: 3.11, p: -1.29]
		Peasant Lord George's peasant #12 [h: 1.46, p: 0.74]
		Peasant Lord George's peasant #15 [h: 1.34, p: 0.95]
		Peasant Lord George's peasant #18 [h: 1.78, p: 2.74]
☠	Lord Anthony [h: 0.0, p: 12.54]
		Knight Raymond [h: 1.12, p: 2.73]
		Knight Bruce [h: 3.31, p: 2.52]
		Peasant Lord Anthony's peasant #7 [h: 2.27, p: -0.53]
		Peasant Lord Anthony's peasant #10 [h: 2.1, p: 0.59]
		Peasant Lord Anthony's peasant #13 [h: 1.72, p: 2.79]
		Peasant Lord Anthony's peasant #16 [h: 1.24, p: 2.12]
		Peasant Lord Anthony's peasant #19 [h: 1.79, p: 2.31]
	Wizard Bruce [h: 1.08, p: 8.11]
		Peasant Wizard Bruce's peasant #8 [h: 2.81, p: 5.11]
		Peasant Wizard Bruce's peasant #11 [h: 2.16, p: 6.11]
		Peasant Wizard Bruce's peasant #14 [h: 1.66, p: 7.11]
		Peasant Wizard Bruce's peasant #17 [h: 1.28, p: 8.11]
		Peasant Wizard Bruce's peasant #20 [h: 0.98, p: 9.11]
		Knight Promoted #8 [h: 0.35, p: 4.0]

King Louis [h: 0.6, p: 27.75]
	Lord George [h: 0.32, p: 20.77]
		Peasant Lord George's peasant #6 [h: 6.37, p: -2.16]
		Peasant Lord George's peasant #9 [h: 4.04, p: -2.29]
		Peasant Lord George's peasant #12 [h: 1.89, p: -0.26]
		Peasant Lord George's peasant #15 [h: 1.74, p: -0.05]
		Peasant Lord George's peasant #18 [h: 2.31, p: 1.74]
		Peasant Lord George's peasant #21 [h: 0.74, p: 1.63]
☠	Lord Anthony [h: 0.0, p: 12.54]
		Knight Raymond [h: 1.12, p: 2.73]
		Knight Bruce [h: 3.31, p: 2.52]
		Peasant Lord Anthony's peasant #7 [h: 2.27, p: -0.53]
		Peasant Lord Anthony's peasant #10 [h: 2.1, p: 0.59]
		Peasant Lord Anthony's peasant #13 [h: 1.72, p: 2.79]
		Peasant Lord Anthony's peasant #16 [h: 1.24, p: 2.12]
		Peasant Lord Anthony's peasant #19 [h: 1.79, p: 2.31]
		Peasant Lord Anthony's peasant #22 [h: 1.13, p: 1.68]
